,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
rikitea,4,PF,76,-23.12,-134.97,77.65,12.12
norman wells,90,CA,70,65.28,-126.83,-5.8,13.87
barrow,1,US,95,71.29,-156.79,-29.2,9.17
carballo,40,ES,100,43.21,-8.69,55,6.93
beringovskiy,100,RU,95,63.05,179.32,26.22,21.68
tuktoyaktuk,40,CA,74,69.45,-133.04,-25.6,6.93
bathsheba,20,BB,61,13.22,-59.52,78.8,16.11
constitucion,9,CL,83,-35.33,-72.42,55.49,3.71
souillac,40,MU,100,-20.52,57.52,79,5.41
zalantun,0,CN,58,48,122.72,9.45,29.37
nizhneyansk,,,,,,,
aklavik,40,CA,62,68.22,-135.01,-13,2.24
palmer,75,US,35,42.16,-72.33,48.2,6.93
punta arenas,75,CL,87,-53.15,-70.92,48.2,3.36
ayios thomas,0,GR,76,38.28,23.59,53.01,3.36
avarua,1,CK,94,-21.21,-159.78,78.8,10.29
atuona,4,PF,75,-9.8,-139.03,82.27,11.63
mataura,1,NZ,66,-46.19,168.86,60.01,8.99
cap malheureux,40,MU,100,-19.98,57.61,79,10.36
vardo,100,NO,84,70.37,31.11,28.22,13.58
port alfred,100,ZA,96,-33.59,26.89,68,1.99
hermanus,94,ZA,86,-34.42,19.23,62.01,1.99
vasilsursk,100,RU,93,56.13,46.01,43.09,14.12
mama,100,RU,94,58.31,112.9,-9.26,8.48
upernavik,98,GL,93,72.79,-56.15,-20.33,5.64
busselton,82,AU,32,-33.65,115.33,80.01,11.54
portmore,20,JM,88,17.97,-76.87,75.2,8.05
hobart,75,AU,46,-42.88,147.33,73.99,5.82
sallanches,1,FR,93,45.94,6.63,48.99,2.24
bengkulu,14,ID,60,-3.8,102.27,88.12,4.9
albany,75,US,51,42.6,-73.97,39,5.82
tabou,100,CI,94,4.42,-7.35,77.83,3.42
kapaa,75,US,65,22.08,-159.32,78.8,13.87
magadan,100,RU,91,59.57,150.8,11.55,22.59
walvis bay,0,NA,95,-22.96,14.51,62.01,1.99
zaysan,0,KZ,78,47.47,84.87,10.18,1.59
bitung,40,ID,70,1.45,125.18,86,2.24
tasiilaq,95,GL,60,65.61,-37.64,8.6,8.05
fortuna,75,US,93,40.6,-124.16,54,11.41
arraial do cabo,20,BR,83,-22.97,-42.03,71.6,2.24
ushuaia,90,AR,93,-54.8,-68.3,46.4,5.82
isla vista,40,US,82,34.41,-119.86,62.6,3.36
dingle,48,PH,63,11,122.67,83.17,13.51
bonthe,16,SL,91,7.53,-12.51,79.48,3.53
barentsburg,,,,,,,
guerrero negro,100,MX,77,27.98,-114.06,70.29,10.16
codrington,69,AU,55,-38.27,141.97,72.45,7.16
sioux lookout,90,CA,100,50.1,-91.92,32,9.17
tura,0,IN,30,25.52,90.22,82.89,2.48
sterlibashevo,64,RU,80,53.44,55.26,31.68,19.24
flinders,40,AU,50,-34.58,150.86,79,13.87
ribeira grande,88,PT,86,38.52,-28.7,54.97,9.64
koumac,57,NC,68,-20.57,164.28,84.51,3.53
batemans bay,0,AU,71,-35.72,150.18,73,13
nizwa,0,OM,32,22.93,57.53,56.97,0.96
port elizabeth,75,ZA,88,-33.92,25.57,68,12.75
cherskiy,100,RU,88,68.75,161.3,-0.24,10.65
kavaratti,0,IN,67,10.57,72.64,82.42,6.87
marcona,,,,,,,
kamenka,98,RU,92,51.32,42.77,45,7
ballina,90,AU,61,-28.87,153.57,78.8,19.46
zhifang,96,CN,71,30.35,114.32,57.2,2.24
bokspits,,,,,,,
likasi,100,CD,93,-10.98,26.73,62.94,4.61
hilo,90,US,65,19.73,-155.09,78.8,9.17
lazarev,0,RU,68,52.23,141.51,19.02,17.09
katsuura,75,JP,35,35.13,140.3,55.99,12.75
clyde river,75,CA,74,70.47,-68.59,-22,9.17
tharrawaddy,,,,,,,
new norfolk,75,AU,46,-42.78,147.06,72,5.82
butaritari,100,KI,74,3.07,172.79,80.51,1.32
pangnirtung,9,CA,87,66.15,-65.71,-23.28,2.13
coquimbo,20,CL,82,-29.95,-71.34,62.6,4.7
illoqqortoormiut,,,,,,,
vaitupu,,,,,,,
nizhniy tsasuchey,0,RU,58,50.52,115.13,11.97,15.26
cockburn town,100,TC,77,21.46,-71.14,76.48,12.93
kodiak,1,US,36,57.79,-152.41,30.2,10.29
bambous virieux,40,MU,100,-20.34,57.76,79,7.05
ixtapa,90,MX,88,20.7,-105.2,75.99,1.23
bluff,46,NZ,66,-46.6,168.33,60.01,8.99
nishihara,75,JP,59,26.18,127.76,62.6,6.93
itanhem,100,BR,98,-17.17,-40.33,70.11,4.38
wrzesnia,83,PL,93,52.33,17.57,46,11.41
amderma,,,,,,,
pangai,75,TO,74,-19.8,-174.35,84.2,5.82
berlevag,100,NO,81,70.86,29.09,30.33,15.52
vaini,90,TO,94,-21.2,-175.2,78.8,5.82
pa daet,76,TH,68,19.5,99.99,72,2.24
qaanaaq,0,GL,43,77.48,-69.36,-21.42,6.71
jose de freitas,75,BR,88,-4.76,-42.58,78.8,3.36
olafsvik,100,IS,78,64.89,-23.71,27.1,24.99
marmarion,20,GR,93,38.05,24.32,55,10.33
carnarvon,0,AU,58,-24.87,113.63,86,18.34
barcelos,20,PT,100,41.54,-8.62,54,3.15
puerto ayora,3,EC,100,-0.74,-90.35,81,3.69
ambatondrazaka,92,MG,90,-17.83,48.42,66.2,7.38
yellowknife,20,CA,59,62.46,-114.35,-0.4,9.17
samusu,,,,,,,
bredasdorp,92,ZA,88,-34.53,20.04,66.2,13.87
manakara,37,MG,97,-22.13,48.02,71.17,5.77
nikolskoye,90,RU,93,59.7,30.79,37.4,8.95
mys shmidta,,,,,,,
kurilsk,66,RU,64,45.23,147.88,26.73,21.61
cape town,75,ZA,93,-33.93,18.42,63,12.75
rocha,100,UY,97,-34.48,-54.33,67.26,4.5
antofagasta,33,CL,68,-23.65,-70.4,69.8,4.7
dandong,100,CN,77,40.13,124.39,44.58,10.63
isangel,40,VU,70,-19.55,169.27,87.8,6.93
mandera,33,KE,65,3.94,41.87,74.68,4.25
vila franca do campo,40,PT,87,37.72,-25.43,59,10.29
beruwala,28,LK,71,6.48,79.98,80.56,4.14
bandiagara,100,ML,4,14.35,-3.61,78.12,10.13
bandarbeyla,3,SO,74,9.49,50.81,78.19,18.16
mayor pablo lagerenza,2,PY,51,-19.93,-60.77,81.09,4.07
griffith,90,US,93,41.53,-87.42,44.01,4.07
hithadhoo,16,MV,73,-0.6,73.08,83.46,13.82
howard springs,20,AU,59,-12.5,131.05,93,6.93
dikson,82,RU,99,73.51,80.55,-13.83,10.92
zhangye,100,CN,32,38.93,100.45,32.47,7.7
nanortalik,0,GL,72,60.14,-45.24,25.66,5.19
narayangarh,17,IN,74,30.48,77.13,62.82,10.4
toba,20,JP,43,34.48,136.85,51.8,8.05
taolanaro,,,,,,,
mwinilunga,100,ZM,93,-11.74,24.43,62.11,1.07
padang,0,ID,56,-0.95,100.35,83.97,2.42
narsaq,0,GL,44,60.92,-46.05,21.2,4.7
nome,90,US,85,64.5,-165.41,10.4,12.75
thompson,90,CA,53,55.74,-97.86,21.2,8.05
castro,1,BR,96,-24.79,-50.01,62.65,8.55
coro,100,VE,81,11.4,-69.67,75,13.87
torbay,90,CA,92,47.67,-52.73,33.01,8.05
tahta,75,EG,31,26.77,31.5,78.8,20.8
luangwa,10,ZM,95,-15.62,30.42,67.06,2.59
rayadrug,8,IN,51,14.7,76.87,77.95,8.23
bettiah,0,IN,44,26.8,84.5,77.58,4.32
georgetown,20,MY,74,5.41,100.34,86,3.36
mitsamiouli,98,KM,72,-11.38,43.28,83.55,4.32
amga,100,RU,92,60.9,131.96,-11.27,7.65
